id,unit_number,unit_size,unit_balcony_size,unit_current_price,unit_construction_year,unit_scan_date,unit_status_id,project_id,unit_category_id,unit_type_id,unit_url,unit_rooms,unit_floor,sqrm_price
234,10,45.5,4.6,0,2021,2021-03-05,3,8,1,1,"",2,2,0
235,11,67,9.1,162900,2021,2021-03-05,1,8,1,1,"",3,2,2431.34
236,12,88.5,13.7,0,2021,2021-03-05,2,8,1,1,"",4,2,0
237,13,42.2,4.6,0,2021,2021-03-05,3,8,1,1,"",2,3,0
238,14,45.8,9.1,0,2021,2021-03-05,3,8,1,1,"",2,3,0
239,15,66.9,9.1,165900,2021,2021-03-05,1,8,1,1,"",3,3,2479.82
240,16,45.5,4.5,0,2021,2021-03-05,2,8,1,1,"",2,3,0
241,17,45.5,4.6,0,2021,2021-03-05,2,8,1,1,"",2,3,0
242,18,67,9.1,0,2021,2021-03-05,2,8,1,1,"",3,3,0
243,19,88.5,13.7,0,2021,2021-03-05,2,8,1,1,"",4,3,0
244,1,64.9,9.1,163900,2021,2021-03-05,1,9,1,1,"",3,1,2525.42
245,2,67.1,42.9,0,2021,2021-03-05,3,9,1,1,"",3,1,0
246,3,85.1,23.6,203900,2021,2021-03-05,1,9,1,1,"",4,1,2396
247,4,67,21.1,164900,2021,2021-03-05,1,9,1,1,"",3,1,2461.19
248,5,65,21.1,159900,2021,2021-03-05,1,9,1,1,"",3,1,2460
249,6,42.2,4.6,0,2021,2021-03-05,3,9,1,1,"",2,2,0
250,7,45.8,9.1,0,2021,2021-03-05,3,9,1,1,"",2,2,0
251,8,66.9,9.1,163900,2021,2021-03-05,1,9,1,1,"",3,2,2449.93
252,9,45.5,4.5,0,2021,2021-03-05,3,9,1,1,"",2,2,0
253,10,45.5,4.6,0,2021,2021-03-05,3,9,1,1,"",2,2,0
254,11,67,9.1,162900,2021,2021-03-05,1,9,1,1,"",3,2,2431.34
255,12,88.5,13.7,0,2021,2021-03-05,2,9,1,1,"",4,2,0
256,13,42.2,4.6,0,2021,2021-03-05,3,9,1,1,"",2,3,0
257,14,45.8,9.1,0,2021,2021-03-05,3,9,1,1,"",2,3,0
